time,open,high,low,close,volume,ticker
2023-09-08,33500,34100,33400,33750,16656500.0,SSI
2023-09-08,70900,72900,70100,72600,419400.0,BCM
2023-09-08,55000,55500,54000,54000,10428600.0,VHM
2023-09-08,60500,60600,59100,59100,28220800.0,VIC
2023-09-08,30200,30350,29600,29600,5885800.0,VRE
2023-09-08,45750,46000,45550,45650,437900.0,BVH
2023-09-08,12900,13000,12850,12850,10413700.0,POW
2023-09-08,102900,103300,102200,102200,548900.0,GAS
2023-09-08,22900,22950,22700,22750,5525800.0,ACB
2023-09-08,47500,47550,46950,47000,1600700.0,BID
2023-09-08,32700,32700,32299,32299,3674400.0,CTG
2023-09-08,17200,17350,17100,17350,5683200.0,HDB
2023-09-08,19300,19350,19100,19100,11166600.0,MBB
2023-09-08,27350,27750,27300,27500,1274600.0,SSB
2023-09-08,12800,12850,12700,12700,20588000.0,SHB
2023-09-08,32800,32950,32500,32500,18547100.0,STB
2023-09-08,35850,35900,35350,35350,4602900.0,TCB
2023-09-08,19650,19700,19400,19400,6024300.0,TPB
2023-09-08,89500,89500,89100,89500,1341900.0,VCB
2023-09-08,20600,20700,20550,20600,3898100.0,VIB
2023-09-08,21750,21900,21700,21800,16766200.0,VPB
2023-09-08,28500,29150,28400,28750,33793700.0,HPG
2023-09-08,22150,23200,22150,22700,3404000.0,GVR
2023-09-08,82100,83500,81800,81800,3064800.0,MSN
2023-09-08,79200,80100,79100,80000,2774900.0,VNM
2023-09-08,160800,161800,160000,160600,285700.0,SAB
2023-09-08,100400,101800,100300,101400,854100.0,VJC
2023-09-08,54500,56500,54500,55500,7805800.0,MWG
2023-09-08,39300,39700,39200,39400,972300.0,PLX
2023-09-08,97500,98500,97000,97600,2115600.0,FPT
2023-09-08,29000,29100,28600,29100,6500.0,MFS
2023-09-08,15100,15100,14900,14900,8400.0,ABC
2023-09-08,25300,25300,24900,25000,487300.0,VGI
2023-09-08,71900,72000,71000,72000,34700.0,FOX
2023-09-08,28200,28200,28100,28100,600.0,PIA
2023-09-08,8500,8500,8400,8500,25200.0,TTN
2023-09-08,9210,9220,9200,9200,2100.0,FUEIP100
2023-09-08,8350,8350,8230,8250,49800.0,FUEKIV30
2023-09-08,11200,11200,11100,11160,29400.0,FUEDCMID
2023-09-08,11230,11230,11230,11230,48000.0,FUEKIVFS
2023-09-08,11640,11640,11590,11600,21100.0,FUEMAVND
2023-09-08,11520,12290,11520,11650,5800.0,FUEFCV50
2023-09-08,19570,19570,19050,19050,3100.0,FUESSV50
2023-09-08,21650,21650,21500,21540,610800.0,E1VFVN30
2023-09-08,19960,19960,19830,19830,9600.0,FUESSVFL
2023-09-08,14810,14850,14730,14790,13900.0,FUEMAV30
2023-09-08,15500,15570,15450,15450,10100.0,FUESSV30
2023-09-08,27600,27780,27500,27610,8495800.0,FUEVFVND
2023-09-08,16640,16640,16500,16610,86800.0,FUEVN100
2023-09-08,7550,7550,7060,7550,24100.0,FUCVREIT
2023-09-08,16400,16400,15700,15900,2391200.0,ABW
2023-09-08,17800,17950,17500,17700,1450600.0,AGR
2023-09-08,10650,10800,10550,10600,1240200.0,APG
2023-09-08,9500,9700,9400,9500,3960700.0,APS
2023-09-08,12150,12300,12000,12100,14237700.0,BCG
2023-09-08,13400,14200,13400,14100,409300.0,BMS
2023-09-08,38300,38950,37900,38400,1460800.0,BSI
2023-09-08,28800,29100,28500,28600,345200.0,BVS
2023-09-08,12000,12200,12000,12200,5800.0,TIN
2023-09-08,30000,30350,29800,29900,1093500.0,CTS
2023-09-08,21600,22600,21600,22200,265700.0,DSC
2023-09-08,13300,13600,13100,13550,2010500.0,EVF
2023-09-08,6120,6250,6060,6090,3395500.0,FIT
2023-09-08,42900,43950,42600,43950,1878500.0,FTS
2023-09-08,12300,13000,12200,12800,3825800.0,AAS
2023-09-08,11300,11500,11100,11300,236300.0,HBS
2023-09-08,33500,34400,33400,34000,7059900.0,HCM
2023-09-08,10100,10100,9800,10000,2300.0,HAC
2023-09-08,2460,2550,2460,2520,1864900.0,IBC
2023-09-08,14000,14100,13400,14000,380600.0,IVS
2023-09-08,12000,12100,11600,11800,554300.0,EVS
2023-09-08,8150,8160,8060,8100,1278000.0,OGC
2023-09-08,19850,20000,19400,19450,3798800.0,ORS
2023-09-08,50600,51200,50300,50500,16400.0,CSI
2023-09-08,13800,13800,13800,13800,3000.0,PHS
2023-09-08,11300,11800,11100,11400,1781500.0,PSI
2023-09-08,9400,9600,9300,9500,3884000.0,SBS
2023-09-08,19100,19100,18800,18800,11889500.0,SHS
2023-09-08,13000,13200,12900,13000,1249600.0,TCI
2023-09-08,21000,21200,20700,21000,2444600.0,MBS
2023-09-08,6250,6310,6240,6290,585700.0,TVB
2023-09-08,6800,6900,6600,6700,2650700.0,TVC
2023-09-08,25100,25700,25050,25450,201400.0,TVS
2023-09-08,46400,47200,46300,46900,2811000.0,VCI
2023-09-08,18650,18750,18300,18500,1072000.0,VDS
2023-09-08,27100,27400,25000,26700,1669900.0,VFS
2023-09-08,35300,37000,35000,37000,103900.0,VUA
2023-09-08,10200,10800,10100,10400,2934800.0,VIG
2023-09-08,19750,20150,19700,19800,26292400.0,VIX
2023-09-08,23600,24100,23550,23650,21522800.0,VND
2023-09-08,8900,9000,8700,8800,194500.0,WSS
2023-09-08,18400,18400,18000,18000,2400.0,BVL
2023-09-08,64300,64700,64099,64599,63300.0,SSH
2023-09-08,8600,8900,8500,8600,161000.0,BIG
